stim,correct_key,set_size,block,img_folder,condition,period_sz,iteration,num_actions
11,2,12,8,3,13,12,7,4
5,2,12,8,3,13,12,7,4
4,1,12,8,3,13,12,7,4
9,0,12,8,3,13,12,7,4
7,2,12,8,3,13,12,7,4
3,0,12,8,3,13,12,7,4
3,0,12,8,3,13,12,8,4
8,1,12,8,3,13,12,7,4
11,2,12,8,3,13,12,8,4
9,0,12,8,3,13,12,8,4
8,1,12,8,3,13,12,8,4
5,2,12,8,3,13,12,8,4
8,1,12,8,3,13,12,9,4
2,0,12,8,3,13,12,8,4
7,2,12,8,3,13,12,8,4
1,3,12,8,3,13,12,8,4
10,1,12,8,3,13,12,8,4
6,3,12,8,3,13,12,8,4
2,0,12,8,3,13,12,9,4
12,3,12,8,3,13,12,8,4
4,1,12,8,3,13,12,8,4
1,3,12,8,3,13,12,9,4
4,1,12,8,3,13,12,9,4
9,0,12,8,3,13,12,9,4
11,2,12,8,3,13,12,9,4
10,1,12,8,3,13,12,9,4
5,2,12,8,3,13,12,9,4
3,0,12,8,3,13,12,9,4
6,3,12,8,3,13,12,9,4
11,2,12,8,3,13,12,10,4
3,0,12,8,3,13,12,10,4
12,3,12,8,3,13,12,9,4
12,3,12,8,3,13,12,10,4
7,2,12,8,3,13,12,9,4
8,1,12,8,3,13,12,10,4
4,1,12,8,3,13,12,10,4
6,3,12,8,3,13,12,10,4
7,2,12,8,3,13,12,10,4
10,1,12,8,3,13,12,10,4
1,3,12,8,3,13,12,10,4
2,0,12,8,3,13,12,10,4
5,2,12,8,3,13,12,10,4
9,0,12,8,3,13,12,10,4
